index,phase,start_ts,end_ts,dur_us
342,LoadMusic(),964870416209,964870416215,6
343,LoadMusic(),964870426323,964870426334,11
344,LoadMusic(),964870436569,964870436586,17
345,LoadMusic(),964870446601,964870446621,20
346,LoadMusic(),964870456501,964870456522,21
347,LoadMusic(),964870466534,964870466548,14
348,LoadMusic(),964870477279,964870477292,13
349,LoadMusic(),964870486417,964870486430,13
350,LoadMusic(),964870496501,964870496515,14
351,LoadMusic(),964870506932,964870506965,33
352,LoadMusic(),964870516657,964870516677,20
353,LoadMusic(),964870526482,964870526502,20
354,LoadMusic(),964870536385,964870536402,17
355,LoadMusic(),964870546305,964870546317,12
356,LoadMusic(),964870556017,964870556020,3
357,LoadMusic(),964870566077,964870566085,8
358,LoadMusic(),964870576167,964870576176,9
359,LoadMusic(),964870586245,964870586255,10
360,LoadMusic(),964870596305,964870596319,14
361,LoadMusic(),964870606250,964870606262,12
362,LoadMusic(),964870616338,964870616349,11
363,LoadMusic(),964870626481,964870626492,11
364,LoadMusic(),964870636534,964870636552,18
365,LoadMusic(),964870646365,964870646379,14
366,LoadMusic(),964870656590,964870656609,19
367,LoadMusic(),964870666161,964870666166,5
368,LoadMusic(),964870676177,964870676181,4
369,LoadMusic(),964870686202,964870686210,8
370,LoadMusic(),964870696386,964870696399,13
371,LoadMusic(),964870706555,964870706573,18
372,LoadMusic(),964870716661,964870716681,20
373,LoadMusic(),964870726669,964870726688,19
374,LoadMusic(),964870736618,964870736639,21
375,LoadMusic(),964870746697,964870746717,20
376,LoadMusic(),964870756559,964870756579,20
377,LoadMusic(),964870766660,964870766679,19
378,LoadMusic(),964870776465,964870776483,18
379,LoadMusic(),964870786551,964870786564,13
380,LoadMusic(),964870796584,964870796597,13
381,LoadMusic(),964870806133,964870806143,10
382,LoadMusic(),964870816319,964870816338,19
383,LoadMusic(),964870826015,964870826018,3
384,LoadMusic(),964870835989,964870835995,6
385,LoadMusic(),964870846133,964870846141,8
386,LoadMusic(),964870856106,964870856116,10
387,LoadMusic(),964870866288,964870866299,11
388,LoadMusic(),964870876372,964870876383,11
389,LoadMusic(),964870886081,964870886087,6
390,LoadMusic(),964870896182,964870896190,8
391,LoadMusic(),964870906386,964870906395,9
392,LoadMusic(),964870916386,964870916394,8
393,LoadMusic(),964870926484,964870926504,20
394,LoadMusic(),964870936300,964870936309,9
395,LoadMusic(),964870946649,964870946671,22
396,LoadMusic(),964870956510,964870956525,15
397,LoadMusic(),964870966546,964870966564,18
398,LoadMusic(),964870976525,964870976536,11
399,LoadMusic(),964870986561,964870986580,19
400,LoadMusic(),964870996560,964870996579,19
401,LoadMusic(),964871006389,964871006408,19
402,LoadMusic(),964871016634,964871016657,23
403,LoadMusic(),964871026465,964871026480,15
404,LoadMusic(),964871036567,964871036586,19
405,LoadMusic(),964871046565,964871046589,24
406,LoadMusic(),964871056421,964871056434,13
407,LoadMusic(),964871066441,964871066454,13
408,LoadMusic(),964871076482,964871076953,471
409,LoadMusic(),964871086339,964871086354,15
410,LoadMusic(),964871096348,964871096360,12
411,LoadMusic(),964871106301,964871106310,9
412,LoadMusic(),964871116354,964871116373,19
413,LoadMusic(),964871126594,964871126610,16
414,LoadMusic(),964871136398,964871136412,14
415,LoadMusic(),964871146562,964871146579,17
416,LoadMusic(),964871156417,964871156431,14
417,LoadMusic(),964871166323,964871166339,16
418,LoadMusic(),964871176282,964871176292,10
419,LoadMusic(),964871186342,964871186354,12
420,LoadMusic(),964871196298,964871196309,11
421,LoadMusic(),964871206485,964871206499,14
422,LoadMusic(),964871217059,964871217078,19
423,LoadMusic(),964871226670,964871226689,19
424,LoadMusic(),964871236358,964871236377,19
425,LoadMusic(),964871246357,964871246366,9
426,LoadMusic(),964871256344,964871256355,11
427,LoadMusic(),964871266451,964871266467,16
428,LoadMusic(),964871276322,964871276332,10
429,LoadMusic(),964871286294,964871286305,11
430,LoadMusic(),964871296546,964871296555,9
431,LoadMusic(),964871306495,964871306502,7
432,LoadMusic(),964871316501,964871316511,10
